topic,description,region,category,subcategory,source
Pongal,"Harvest festival celebrated in Tamil Nadu to thank the Sun God for agricultural abundance. Features special rice dish preparation, cattle decoration, and community gatherings.",Tamil Nadu,Festival,Harvest Festival,"Ministry of Culture, Government of India"
Kathakali Training,"Rigorous traditional training system requiring years of discipline, starting from childhood with eye exercises, body conditioning, and expression practice.",Kerala,Performing Arts,Dance Drama,Sangeet Natak Akademi
Meenakshi Temple Architecture,"Magnificent Dravidian temple architecture in Madurai featuring gopurams (towering gateways), mandapas (pillared halls), and thousands of stone sculptures depicting mythological scenes.",Tamil Nadu,Architecture,Temple Architecture,Archaeological Survey of India
Warli Painting,"Tribal art form from Maharashtra using simple geometric shapes and stick figures on mud walls to depict daily life, celebrations, and connection with nature.",Maharashtra,Art Form,Folk Art,National Crafts Museum
Kumbh Mela,World's largest religious gathering occurring every 12 years at four riverside locations where millions gather to bathe in sacred waters for spiritual purification.,Uttar Pradesh,Ritual,Community Ritual,Anthropological Survey of India
Carnatic Music,"South Indian classical music system emphasizing vocal performance with melodic improvisation within structured compositions, accompanied by violin, mridangam, and tambura.",South India,Performing Arts,Music,Sangeet Natak Akademi
Chhath Puja,"Four-day festival dedicated to Sun God and Chhathi Maiya (Mother Goddess), involving fasting, standing in water, and offering prayers at sunrise and sunset.",Bihar,Festival,Religious Festival,"Ministry of Culture, Government of India"
Ayurvedic Seasonal Regimen,"Traditional health practice of adjusting diet, lifestyle, and daily routines according to changing seasons (Ritucharya) to maintain balance and prevent illness.",Pan-India,Traditional Medicine,Wellness,"Ministry of AYUSH, Government of India"
Madhubani Painting,"Ancient folk art from Bihar region featuring colorful geometric patterns, mythological figures, and nature motifs, traditionally created by women on freshly plastered mud walls.",Bihar,Art Form,Folk Art,National Crafts Museum
Navratri,"Nine-night festival honoring the feminine divine, celebrated through fasting, prayer, dance (Garba/Dandiya), and regional customs across India.",Pan-India,Festival,Religious Festival,"Ministry of Culture, Government of India"
Upanayana,"Sacred thread ceremony marking a boy's transition to formal education and spiritual life, involving mantras, rituals, and symbolic rebirth into the student phase.",South India,Ritual,Life Cycle Ceremony,Anthropological Survey of India
Theyyam,"Ritual dance worship from Kerala where performers embody deities through elaborate costumes, face painting, and intense physical movements to bless communities.",Kerala,Performing Arts,Ritual Dance,Kerala Tourism Department
Baisakhi,"Harvest festival marking the Sikh New Year, commemorating the formation of the Khalsa by Guru Gobind Singh, celebrated with processions, fairs, and bhangra dancing.",Punjab,Festival,Harvest Festival,"Ministry of Culture, Government of India"
Vedic Mathematics,"Ancient system of mathematical calculations based on 16 sutras (formulas) from the Vedas, enabling mental arithmetic and simplified problem-solving techniques.",Pan-India,Knowledge System,Traditional Science,Sahitya Akademi
Bandhani,"Traditional tie-dye textile art from Gujarat and Rajasthan creating intricate patterns by tying small portions of fabric before dyeing, symbolizing joy and fertility.",Gujarat,Art Form,Traditional Craft,National Crafts Museum
Surya Namaskar,"Traditional sequence of 12 yoga postures performed as a salutation to the sun, combining physical exercise, breath control, and meditation.",Pan-India,Spiritual Practice,Yoga,"Ministry of AYUSH, Government of India"
Panchayat System,"Traditional village council governance structure resolving disputes, managing resources, and making community decisions, now formalized in modern governance.",Rural India,Social Structure,Governance System,National Council of Educational Research and Training
Kuchipudi,"Classical dance form from Andhra Pradesh originally performed as dance-drama by male troupes, characterized by graceful movements, speech, and rhythmic footwork.",Andhra Pradesh,Performing Arts,Dance,Sangeet Natak Akademi
Solah Shringar,"Sixteen traditional adornments for Indian brides including bindi, sindoor, alta, bangles, and anklets, each with symbolic significance for marital auspiciousness.",Pan-India,Custom,Marriage Tradition,Anthropological Survey of India
Dhokra Art,Ancient lost-wax metal casting technique creating tribal figurines and functional items with distinctive primitive patterns and motifs.,Chhattisgarh,Art Form,Traditional Craft,National Crafts Museum
Janmashtami,"Festival celebrating Lord Krishna's birth with fasting, devotional singing, baby Krishna worship, and dahi handi (breaking of curd pot) competitions.",Pan-India,Festival,Religious Festival,"Ministry of Culture, Government of India"
Kumbhabhishekam,Temple consecration ceremony performed every 12 years to recharge the divine energy of the temple and its deities through elaborate rituals and mantras.,South India,Ritual,Temple Ritual,Anthropological Survey of India
Manipuri Dance,"Classical dance from Manipur blending devotional themes with delicate, graceful movements and circular patterns inspired by Krishna and Radha's love.",Manipur,Performing Arts,Dance,Sangeet Natak Akademi
Panchkarma,"Five-fold Ayurvedic detoxification therapy including oil massage, steam therapy, and cleansing procedures to remove toxins and restore bodily balance.",Pan-India,Traditional Medicine,Healing System,"Ministry of AYUSH, Government of India"
Patola,Double ikat silk textile from Gujarat requiring intricate pre-dyeing of both warp and weft threads before weaving to create precise geometric patterns.,Gujarat,Art Form,Traditional Craft,National Crafts Museum
Ganesh Chaturthi,"Festival honoring Lord Ganesha with elaborate public installations, home worship, and immersion processions, especially celebrated in Maharashtra.",Maharashtra,Festival,Religious Festival,"Ministry of Culture, Government of India"
Kootiyattam,"Ancient Sanskrit theater tradition from Kerala recognized by UNESCO as Intangible Cultural Heritage, featuring elaborate eye movements and hand gestures.",Kerala,Performing Arts,Theater,Kerala Tourism Department
Sanjhi Art,Intricate paper cutting art form from Mathura region creating delicate stencil designs of Krishna stories and nature motifs for ritual and decorative purposes.,Uttar Pradesh,Art Form,Folk Art,National Crafts Museum
Teej,"Women's festival celebrating the monsoon season and Goddess Parvati's union with Lord Shiva, featuring fasting, swinging, and wearing green bangles and clothing.",Rajasthan,Festival,Women's Ritual,"Ministry of Culture, Government of India"
Kalamezhuthu,Ritual floor art from Kerala using natural colored powders to create divine images of deities like Kali and Ayyappan for temple worship.,Kerala,Ritual,Temple Art,Kerala Tourism Department
Odissi,"Classical dance form from Odisha characterized by tribhangi (three-part body bends), mudras (hand gestures), and fluid torso movements depicting divine stories.",Odisha,Performing Arts,Dance,Sangeet Natak Akademi
Pattadakallu Temples,UNESCO World Heritage site featuring 7th-8th century temples blending northern Nagara and southern Dravidian architectural styles with intricate stone carvings.,Karnataka,Architecture,Temple Architecture,Archaeological Survey of India
Sattriya,"Classical dance tradition from Assam originating in Vaishnava monasteries (sattras), featuring graceful movements depicting Krishna's life and teachings.",Assam,Performing Arts,Dance,Sangeet Natak Akademi
Chikankari,Delicate white-on-white embroidery technique from Lucknow using shadow-work and fine stitches to create floral patterns on cotton and muslin fabrics.,Uttar Pradesh,Art Form,Traditional Craft,National Crafts Museum
Karaga Festival,"Ancient festival of Karnataka honoring Draupadi as divine mother, featuring a male priest carrying a floral pyramid on his head in procession.",Karnataka,Festival,Religious Festival,Anthropological Survey of India
Gond Art,"Tribal art form using distinctive patterns of dots and lines to create vibrant depictions of nature, folklore, and daily life with natural pigments.",Madhya Pradesh,Art Form,Folk Art,National Crafts Museum
Bihu,"Assamese festival marking agricultural cycles with three distinct celebrations throughout the year, featuring traditional dance, feasting, and community gatherings.",Assam,Festival,Harvest Festival,"Ministry of Culture, Government of India"
Chhau,"Martial dance form from eastern India combining elements of combat techniques with expressive storytelling, often performed with distinctive masks.",West Bengal,Performing Arts,Dance Drama,Sangeet Natak Akademi
Jain Temples of Mount Abu,"Exquisite marble temples at Dilwara featuring some of the world's finest marble carvings with intricate ceiling panels, pillars, and doorways.",Rajasthan,Architecture,Temple Architecture,Archaeological Survey of India
Kolam Practice,"Daily ritual of creating geometric patterns with rice flour at thresholds to welcome prosperity, positive energy, and provide food for insects and small creatures.",Tamil Nadu,Ritual,Daily Practice,Anthropological Survey of India
Yakshagana,"Traditional theater form from Karnataka combining dance, music, dialogue, costume, and makeup to depict mythological stories with vibrant characters.",Karnataka,Performing Arts,Theater,Sangeet Natak Akademi
Panchaloha Casting,"Traditional five-metal alloy crafting technique for temple idols combining gold, silver, copper, iron, and zinc/lead to create sacred sculptures.",South India,Art Form,Traditional Craft,National Crafts Museum
Gangaur,"Women's festival celebrating marital fidelity and honoring Goddess Gauri, featuring processions, fasting, and decorative displays of the goddess.",Rajasthan,Festival,Women's Ritual,"Ministry of Culture, Government of India"
Kalarippayattu Training,"Structured martial arts education system progressing through body control, wooden weapons, metal weapons, and finally weaponless combat techniques.",Kerala,Performing Arts,Martial Art,Kerala Tourism Department
Tanjore Painting,"Classical South Indian painting style using gold leaf, glass beads, and precious stones to create ornate devotional images with raised surfaces.",Tamil Nadu,Art Form,Traditional Craft,National Crafts Museum
Tulsi Vivah,"Ritual marriage ceremony between the sacred Tulsi plant and Lord Vishnu, marking the beginning of the wedding season after the monsoon.",Maharashtra,Ritual,Seasonal Ritual,Anthropological Survey of India
Baul Tradition,Mystical minstrel tradition from Bengal combining elements of Vaishnavism and Sufism through wandering singers who spread spiritual messages through songs.,West Bengal,Performing Arts,Music,Sangeet Natak Akademi
Pithora Painting,Ritual art of Rathwa and Bhilala tribes creating wall paintings depicting their creation myth and invoking deities for healing and prosperity.,Gujarat,Art Form,Tribal Art,National Crafts Museum
Ugadi,"New Year festival in Andhra Pradesh, Telangana and Karnataka marking the beginning of the Hindu lunar calendar with special dishes combining six flavors.",South India,Festival,Spring Festival,"Ministry of Culture, Government of India"
Kamsale Dance,"Devotional folk dance from Karnataka dedicated to Lord Mahadeshwara, featuring rhythmic movements while playing cymbal-like instruments.",Karnataka,Performing Arts,Folk Dance,Sangeet Natak Akademi
Panchavadyam,Traditional temple orchestra from Kerala using five instruments in a rhythmic ensemble that builds in tempo and complexity throughout the performance.,Kerala,Performing Arts,Music,Kerala Tourism Department
Kalamkari,Ancient textile art using natural dyes and hand-carved blocks to create mythological narratives and floral patterns on cotton fabric.,Andhra Pradesh,Art Form,Traditional Craft,National Crafts Museum
Naga Panchami,"Snake worship festival where milk offerings are made to snake deities and images, celebrating the ecological and mythological significance of serpents.",Pan-India,Festival,Religious Festival,Anthropological Survey of India
Mohiniattam,"Classical dance form from Kerala known as the 'dance of the enchantress,' characterized by graceful, swaying movements and white and gold costumes.",Kerala,Performing Arts,Dance,Sangeet Natak Akademi
Pashmina Weaving,"Traditional craft of creating fine cashmere shawls from the undercoat of Himalayan mountain goats, featuring intricate embroidery and patterns.",Kashmir,Art Form,Traditional Craft,National Crafts Museum
Makar Sankranti,"Harvest festival marking the sun's transition into Capricorn, celebrated with kite flying, sesame sweets, and ritual bathing in sacred rivers.",Pan-India,Festival,Harvest Festival,"Ministry of Culture, Government of India"
Ayurvedic Dinacharya,"Daily routine practices prescribed in Ayurveda including morning hygiene, oil pulling, self-massage, and specific eating patterns to maintain health.",Pan-India,Traditional Medicine,Wellness,"Ministry of AYUSH, Government of India"
Bidri Work,Metal handicraft technique from Bidar using an alloy of zinc and copper inlaid with thin sheets of silver to create distinctive black and silver items.,Karnataka,Art Form,Traditional Craft,National Crafts Museum
Vishu,"Kerala New Year festival featuring the Vishukkani arrangement of auspicious items viewed first thing in the morning, along with gift-giving and feasting.",Kerala,Festival,Spring Festival,Kerala Tourism Department
Gotipua,"Traditional dance form from Odisha performed by young boys dressed as girls, precursor to Odissi, featuring acrobatic movements and backbends.",Odisha,Performing Arts,Dance,Sangeet Natak Akademi
Dhunuchi Dance,"Ritual dance performed during Durga Puja holding terracotta incense burners, creating smoke while performing rhythmic movements to honor the goddess.",West Bengal,Performing Arts,Ritual Dance,West Bengal Tourism
Pichwai,"Intricate temple hangings depicting Lord Krishna's life, created on cloth with detailed brushwork, gold embellishments, and vibrant natural colors.",Rajasthan,Art Form,Traditional Craft,National Crafts Museum
Navroz,"Parsi New Year celebration featuring house cleaning, new clothes, decorative tables with symbolic items, and community feasting to mark spring's arrival.",Gujarat,Festival,Spring Festival,Anthropological Survey of India
Thang Ta,"Manipuri martial art combining spear (thang) and sword (ta) fighting techniques with ritual dance elements, showcasing precision and agility.",Manipur,Performing Arts,Martial Art,Sangeet Natak Akademi
Aipan,Ritual floor and wall art from Kumaon region using rice paste on red background to create geometric and symbolic designs for auspicious occasions.,Uttarakhand,Art Form,Folk Art,National Crafts Museum
Hemis Festival,"Buddhist festival in Ladakh commemorating Guru Padmasambhava's birth with masked dances (Cham) performed by monks, music, and monastery celebrations.",Ladakh,Festival,Religious Festival,Anthropological Survey of India
Villupattu,Ancient storytelling art form from Tamil Nadu using a bow-shaped musical instrument (villu) for percussion while narrating mythological stories through songs.,Tamil Nadu,Performing Arts,Music,Sangeet Natak Akademi
Rogan Art,Rare craft technique using castor oil-based paint applied with metal styluses to create intricate designs on fabric without touching the surface.,Gujarat,Art Form,Traditional Craft,National Crafts Museum
