input ,output,instruction,prompt
What are the popular dishes in Bangalore?,"Ragi Dosa, Benne Dosa, Vadai, Idli, Sambar.","Answer the question truthfully, you are a travel expert.",List popular dishes from Bangalore.
What is the best time to visit Bangalore?,"October to March, during the winter season.","Answer the question truthfully, you are a travel expert.",Provide the ideal time to visit Bangalore.
Plan a 5-day itinerary for Cochin. ,"Day 1: Chinese Fishing Nets, Fort Kochi. Day 2: Mattancherry Palace, St. Francis Church. Day 3: Jewish Synagogue, Jew Town. Day 4: Marine Drive, Willingdon Island. Day 5: Kodanad, Vypeen Island.",Plan a daily itinerary for the given locations.,Create a 5-day travel plan for Cochin.
What are the popular dishes in Chennai?,"Dosa, Idli, Vadai, Sambar, Rasam.","Answer the question truthfully, you are a travel expert.",List popular dishes from Chennai.
What is the best time to visit Chennai?,"November to February, during the winter season.","Answer the question truthfully, you are a travel expert.",Provide the ideal time to visit Chennai.
Plan a 5-day itinerary for Hyderabad. ,"Day 1: Chowmahalla Palace, Charminar. Day 2: Ram Mandir, Salar Jung Museum. Day 3: Nehru Zoological Park, Hussain Sagar Lake. Day 4: Birla Mandir, Paigah Tombs. Day 5: Laad Bazaar, Chowmohalla Palace Night Visit.",Plan a daily itinerary for the given locations.,Create a 5-day travel plan for Hyderabad.
What are the popular dishes in Kolkata?,"Luchi Aloo Dum, Kosha Mangsho, Chingri Malaikari, Aloo Posto, Mishti Doi.","Answer the question truthfully, you are a travel expert.",List popular dishes from Kolkata.
What is the best time to visit Kolkata?,"October to March, during the winter season.","Answer the question truthfully, you are a travel expert.",Provide the ideal time to visit Kolkata.
Plan a 5-day itinerary for Jaipur. ,"Day 1: Hawa Mahal, City Palace. Day 2: Amer Fort, Jaigarh Fort. Day 3: Nahargarh Fort, Jantar Mantar. Day 4: Rambagh Palace, Albert Hall Museum. Day 5: Jal Mahal, Sisodia Rani Ka Bagh.",Plan a daily itinerary for the given locations.,Create a 5-day travel plan for Jaipur.
What are the popular dishes in Mumbai?,"Vada Pav, Pav Bhaji, Misal Pav, Dhokla, Modak.","Answer the question truthfully, you are a travel expert.",List popular dishes from Mumbai.
What is the best time to visit Mumbai?,"November to February, during the winter season.","Answer the question truthfully, you are a travel expert.",Provide the ideal time to visit Mumbai.
Plan a 5-day itinerary for New Delhi. ,"Day 1: Qutub Minar, Humayun's Tomb. Day 2: Red Fort, Jama Masjid. Day 3: Lotus Temple, India Gate. Day 4: Rashtrapati Bhavan, Parliament House. Day 5: Lodhi Gardens, Safdarjung Tomb.",Plan a daily itinerary for the given locations.,Create a 5-day travel plan for New Delhi.
What are the popular dishes in Kolkata?,"Luchi Aloo Dum, Kosha Mangsho, Chingri Malaikari, Aloo Posto, Mishti Doi.","Answer the question truthfully, you are a travel expert.",List popular dishes from Kolkata.
What is the best time to visit Kolkata?,"October to March, during the winter season.","Answer the question truthfully, you are a travel expert.",Provide the ideal time to visit Kolkata.
